OBJECTID,ZIPCODE1,ZIPName,Shape_Length,Shape_Area
1,00000,Assateague Island,270204.874736386,56143681.9521257
2,20601,Waldorf,102859.439905091,181788229.577745
3,20602,Waldorf,41412.9855809408,63173398.0047396
4,20603,Waldorf,44781.7408011573,68717765.5232425
5,20606,Abell,20123.6979183224,5421543.05049815
6,20607,Accokeek,60505.7690585954,89081364.7421877
7,20608,Aquasco,50382.2144154214,83575507.3520614
8,20609,Avenue,69486.7270062608,40850886.9185738
9,20611,Bel Alton,31135.7915863091,30224463.2174758
10,20612,Benedict,5515.91756587,897171.435409688
11,20613,Brandywine,130638.308109894,334688295.838955
12,20615,Broomes Island,13394.0876909586,2995301.62312345
13,20616,Bryans Road,42748.1428844185,47081043.3068398
14,20617,Bryantown,24402.4844746763,28609678.0436864
15,20618,Bushwood,39011.6836627101,35729141.1420594
16,20619,California,73040.880802687,71868465.7745189
17,20620,Callaway,22334.1527962734,16496073.3122784
18,20621,Chaptico,57561.7563857523,60727751.3836818
19,20622,Charlotte Hall,115797.558022214,161852909.861176
20,20623,Cheltenham,17667.9947999039,12236949.5933525
21,20624,Clements,48277.4773890724,42142277.8383215
22,20625,Cobb Island,8386.22669638755,1972297.13072809
23,20626,Coltons Point,19930.6091744193,6273164.99336776
24,20628,Dameron,52829.7636000573,29011896.315028
25,20629,Dowell,14196.690588413,2819077.01692339
26,20630,Drayden,65331.5653234929,31225512.5374874
27,20632,Faulkner,33529.9328299034,27934630.8319163
28,20634,Great Mills,48350.5547327988,30463863.4735345
29,20636,Hollywood,104388.402342118,136530505.935892
30,20637,Hughesville,81247.822103242,130447551.983506
31,20639,Huntingtown,84159.2793591772,185247699.34004
32,20640,Indian Head,157522.579256118,157788869.025844
33,20645,Issue,14776.3422056805,5864235.60239354
34,20646,La Plata,199927.68156665,365260845.673327
35,20650,Leonardtown,211369.597333507,258176667.373489
36,20653,Lexington Park,123662.014480446,142328503.809314
37,20656,Loveville,10933.7739889773,4065421.82879385
38,20657,Lusby,108428.543417546,132895053.063583
39,20658,Marbury,22467.6299361596,13813150.1562103
40,20659,Mechanicsville,151582.02057454,420253661.004187
41,20662,Nanjemoy,104033.637738101,245471626.970043
42,20664,Newburg,152981.925331553,178711152.184228
43,20667,Park Hall,16355.4128540894,6750545.43909487
44,20670,Patuxent River,36980.0826928111,43423706.775654
45,20674,Piney Point,34678.2914107226,5725980.26142402
46,20675,Pomfret,30801.301677689,26842451.5316537
47,20676,Port Republic,57591.5444714844,58613599.7052244
48,20677,Port Tobacco,67059.5702405721,61110099.290926
49,20678,Prince Frederick,95292.5213404938,186928963.828558
50,20680,Ridge,72365.8278266068,27451341.3708275
51,20684,Saint Inigoes,62942.7644323256,34358738.8136271
52,20685,Saint Leonard,93951.2429583129,96894888.9737305
53,20687,Scotland,48782.8147597912,27604214.3790406
54,20688,Solomons,24354.6407718541,5271819.67567976
55,20689,Sunderland,28566.0152829418,30090051.8544706
56,20690,Tall Timbers,28623.0490186638,10125296.7849519
57,20692,Valley Lee,40895.4087141448,31122120.1308958
58,20693,Welcome,84162.4288941985,81282838.6541995
59,20695,White Plains,54587.4797043355,66451732.1986121
60,20701,Annapolis Junction,19275.5429331073,7934246.4931803
61,20705,Beltsville,62718.3362925778,84353627.4819798
62,20706,Lanham,62615.3740249206,40815158.255302
63,20707,Laurel,40971.2557448122,54906183.0451733
64,20708,Laurel,48725.4419381845,63292649.7548673
65,20710,Bladensburg,14327.9830195183,4822847.38685584
66,20711,Lothian,61251.6465485764,144137001.741132
67,20712,Mount Rainier,9001.77511523628,2957301.76467598
68,20714,North Beach,14212.1449230857,6637677.70331749
69,20715,Bowie,38507.3276253652,59878711.7265109
70,20716,Bowie,31919.732690804,49196654.7104309
71,20720,Bowie,57099.9322766656,49580260.5663815
72,20721,Bowie,43103.8714775481,72554219.1526009
73,20722,Brentwood,12970.5052809439,6820945.9792971
74,20723,Laurel,45621.8014822262,59371564.3631636
75,20724,Laurel,33578.6472723233,33669255.2199407
76,20732,Chesapeake Beach,44115.8747735364,44465816.6560245
77,20733,Churchton,29963.6401328923,17476616.903551
78,20735,Clinton,59183.9372412535,111120772.034524
79,20736,Owings,77074.7055315076,111067851.875317
80,20737,Riverdale,21319.1784678218,14117489.0491656
81,20740,College Park,41372.8937333816,37436833.1840919
82,20742,College Park,10929.9085566654,6094023.5630315
83,20743,Capitol Heights,49954.4605809449,44038948.324651
84,20744,Fort Washington,61799.0735254037,124028177.743256
85,20745,Oxon Hill,29611.9346949022,34388981.9778025
86,20746,Suitland,33208.0142062034,31532508.1606401
87,20747,District Heights,29626.0096318792,31203603.6109187
88,20748,Temple Hills,44720.5130822016,41535337.1847146
89,20751,Deale,52077.4640986456,19180943.3254564
90,20754,Dunkirk,51831.6191395404,71206873.9008333
91,20755,Fort George G Meade,57621.3885961916,93495513.3501263
92,20758,Friendship,31265.1745307201,22122481.3264286
93,20759,Fulton,42236.9405274478,27277838.7400661
94,20762,Andrews Air Force Base,22796.6223987699,28950689.3413249
95,20763,Savage,11959.1874961775,3527827.98523045
96,20764,Shady Side,36007.017058376,16101079.0761458
97,20765,Galesville,8637.18658413292,1814208.83334114
98,20769,Glenn Dale,29436.2035113837,21806075.7445027
99,20770,Greenbelt,28857.6188056169,21322601.6478812
100,20771,Greenbelt,7127.45394934607,3105863.75490973
101,20772,Upper Marlboro,100020.803958601,307859527.476013
102,20774,Upper Marlboro,91597.5913646215,153568751.704975
103,20776,Harwood,109737.720259392,99011717.0516078
104,20777,Highland,33274.9152880918,32984022.8622834
105,20778,West River,45810.2528808203,34186806.393511
106,20779,Tracys Landing,31308.6902641047,30803173.3887979
107,20781,Hyattsville,28158.4442147384,10981924.7201162
108,20782,Hyattsville,23608.5329401421,17839233.1350602
109,20783,Hyattsville,37716.9207565159,25240588.3647538
110,20784,Hyattsville,35430.4910639659,17179156.9155655
111,20785,Hyattsville,45552.0281933423,43231221.0503376
112,20794,Jessup,45365.346062317,49578289.6484569
113,20812,Glen Echo,4802.33282761279,1325214.28958396
114,20814,Bethesda,42567.6629672896,19191295.9972041
115,20815,Chevy Chase,29011.9096089489,23618993.3801588
116,20816,Bethesda,22919.5908891975,18436873.7828838
117,20817,Bethesda,52746.2969642618,60298314.4808408
118,20818,Cabin John,12951.4387734451,6052639.2361788
119,20832,Olney,40817.0541029272,42532070.4519286
120,20833,Brookeville,69547.2510973874,89659893.8504607
121,20837,Poolesville,64574.5536278311,183643540.210218
122,20838,Barnesville,23740.9964859303,11300518.7166965
123,20839,Beallsville,15272.733368172,12005040.7811647
124,20841,Boyds,77031.3562395214,127470113.406619
125,20842,Dickerson,129467.126483025,254414503.561324
126,20850,Rockville,54118.5349737313,59093604.189859
127,20851,Rockville,15236.008138762,10491571.339133
128,20852,Rockville,39978.313611444,38731936.6561162
129,20853,Rockville,40437.4695378373,38123367.0080173
130,20854,Potomac,76113.8469332154,159914104.990504
131,20855,Derwood,47990.7889600857,58998414.4071426
132,20860,Sandy Spring,21582.4760781433,17260679.8825488
133,20861,Ashton,23929.1073866338,16270242.3449105
134,20862,Brinklow,12252.4499738925,4560313.52907958
135,20866,Burtonsville,36224.5410812196,31773676.793693
136,20868,Spencerville,23425.6218246509,7420170.33537562
137,20871,Clarksburg,60810.3438488032,89470355.5323624
138,20872,Damascus,59143.0772480021,86768427.0920888
139,20874,Germantown,75604.5000134325,94568011.8642535
140,20876,Germantown,43681.2618106358,48727698.8824132
141,20877,Gaithersburg,34582.6196861105,28085491.3122116
142,20878,Gaithersburg,59820.9863645758,87659738.2548036
143,20879,Gaithersburg,54990.0403166377,33424714.0542991
144,20882,Gaithersburg,81301.0753979316,163328503.730821
145,20886,Montgomery Village,35730.1419225609,18213963.3200697
146,20889,Bethesda,4644.61159098292,1275185.03633307
147,20892,Bethesda,5331.55608927916,1647252.95355234
148,20894,Bethesda,2912.53188643753,468994.97786483
149,20895,Kensington,30187.8619186221,18261644.2694258
150,20899,Gaithersburg,8642.02424010905,3915972.21206325
151,20901,Silver Spring,24339.1374244344,24076987.0741975
152,20902,Silver Spring,38510.3448487489,32185159.1251695
153,20903,Silver Spring,23492.1244040626,15982363.3979742
154,20904,Silver Spring,42211.9193406843,58665597.9498538
155,20905,Silver Spring,60759.4083174641,59787779.2702161
156,20906,Silver Spring,44851.2412030919,51203729.6932753
157,20910,Silver Spring,28170.9736074751,19568537.0454435
158,20912,Takoma Park,19467.8923022019,11072003.4673659
159,21001,Aberdeen,81578.5141215699,132547241.519598
160,21005,Aberdeen Proving Ground,251485.125503654,189876102.178983
161,21009,Abingdon,40060.9773759544,46841510.2561467
162,21010,Gunpowder,108993.182331659,69426259.2240336
163,21012,Arnold,51891.0396141061,41119993.1308554
164,21013,Baldwin,52173.1227410265,60929800.2745632
165,21014,Bel Air,46549.061888601,60485040.7899505
166,21015,Bel Air,88953.2686215915,139572343.945312
167,21017,Belcamp,17497.9127359751,10498549.6097838
168,21028,Churchville,37632.2099366968,57501778.3830405
169,21029,Clarksville,74849.8130999146,70342653.7286696
170,21030,Cockeysville,86609.7330864719,102228833.608863
171,21031,Hunt Valley,10178.5924016524,3213048.31524998
172,21032,Crownsville,74261.8679850186,78998197.2368435
173,21034,Darlington,62753.8165429122,117485902.372862
174,21035,Davidsonville,58626.4081806244,120003066.337655
175,21036,Dayton,27287.3338832537,29445608.2418797
176,21037,Edgewater,142317.896823659,74474170.010938
177,21040,Edgewood,38746.1858497042,34905386.8415706
178,21042,Ellicott City,69518.6458934699,159541997.898023
179,21043,Ellicott City,55642.8700083323,75621288.5104395
180,21044,Columbia,35409.4985622694,53535311.5420103
181,21045,Columbia,29245.634947035,42525133.6272883
182,21046,Columbia,34288.6007336582,35020076.9816118
183,21047,Fallston,76601.8162874093,102017592.973554
184,21048,Finksburg,73171.006947264,116630590.226441
185,21050,Forest Hill,63357.0567661208,124842893.712381
186,21051,Fork,9182.11354414003,2463275.25365661
187,21053,Freeland,50360.0406943367,92815692.2870262
188,21054,Gambrills,88000.5960898623,71021575.7552866
189,21056,Gibson Island,18182.4935742934,6348508.86371975
190,21057,Glen Arm,49250.6703444801,67467726.9843375
191,21060,Glen Burnie,77171.2039262707,53808872.0397827
192,21061,Glen Burnie,55938.357852915,52172425.1610601
193,21071,Glyndon,4924.94798287118,946527.666623073
194,21074,Hampstead,86083.3915168916,165328702.928808
195,21075,Elkridge,48754.065327372,58794292.1514851
196,21076,Hanover,52946.3325909743,53516977.4507705
197,21077,Harmans,12443.4217228526,3539744.75448112
198,21078,Havre De Grace,73283.6744728528,131077776.753893
199,21082,Hydes,51790.8086993673,30753273.1449219
200,21084,Jarrettsville,68779.6844112624,111879101.399047
201,21085,Joppa,83054.5223285218,83227949.6218725
202,21087,Kingsville,55478.7709617757,63161534.5081707
203,21090,Linthicum Heights,24670.8471351798,28698030.7260622
204,21093,Lutherville Timonium,80811.3338977409,90159681.9242194
205,21102,Manchester,115630.905832312,173122289.929461
206,21104,Marriottsville,57621.5808511293,86226471.8207549
207,21108,Millersville,65695.4457424649,58477731.5458993
208,21111,Monkton,70520.8927047562,157546589.904986
209,21113,Odenton,59955.6343014385,64815790.3053593
210,21114,Crofton,29991.6066689452,22191999.2074838
211,21117,Owings Mills,78500.8171556596,132554490.208418
212,21120,Parkton,161013.565599014,196701162.342876
213,21122,Pasadena,167244.506364138,135964840.852274
214,21128,Perry Hall,43882.6149655266,29052009.1061296
215,21131,Phoenix,71183.4100682222,91196123.1408131
216,21132,Pylesville,55682.0562122899,93861701.2543597
217,21133,Randallstown,43256.8521922854,40289892.4369682
218,21136,Reisterstown,107597.021966434,246648260.410532
219,21140,Riva,16312.5325058661,6205676.97551664
220,21144,Severn,54286.4896696313,70154085.5714993
221,21146,Severna Park,67700.3084643296,44202877.1047974
222,21152,Sparks Glencoe,56573.0063980373,105156248.403563
223,21153,Stevenson,25072.3582839818,13220127.7950081
224,21154,Street,101300.934903797,170879100.338622
225,21155,Upperco,60330.1684508067,104540664.223158
226,21156,Upper Falls,15546.0898793853,4841204.8280251
227,21157,Westminster,136466.697726133,349487548.003647
228,21158,Westminster,93030.1195915297,322693292.886382
229,21160,Whiteford,54627.7558876938,69129077.626477
230,21161,White Hall,78770.4089550541,214057106.979027
231,21162,White Marsh,44498.8082015221,34939137.8995767
232,21163,Woodstock,47719.5600660493,54068103.4362849
233,21201,Baltimore,15384.1353230929,5735941.09573964
234,21202,Baltimore,21426.8788718463,7020870.7737955
235,21204,Towson,30192.7782145639,25196838.0078906
236,21205,Baltimore,24392.7127054843,8707625.66414269
237,21206,Raspeburg,28168.9066488984,29477941.6281869
238,21207,Gwynn Oak,47963.3896398303,43337418.0666258
239,21208,Pikesville,51624.7270822256,56882535.9941152
240,21209,Mt Washington,33441.1398084754,28849301.7701849
241,21210,Roland Park,21100.1354407025,13842646.0277442
242,21211,Baltimore,17046.814778799,8555052.4951503
243,21212,Govans,26568.1357992943,19973403.3313362
244,21213,Clifton,19393.0946789326,14617804.2948683
245,21214,Baltimore,18234.1633993975,12427393.2944905
246,21215,Arlington,33126.0198596852,29369010.0634904
247,21216,Baltimore,18460.126620007,14305752.0140669
248,21217,Druid,19994.9187932357,13737027.7034509
249,21218,Baltimore,23243.9090602673,18664808.5519597
250,21219,Sparrows Point,85796.0962491828,46252814.4372985
251,21220,Middle River,162868.90020469,99498231.4602907
252,21221,Essex,108654.338415881,65414342.5205653
253,21222,Dundalk,78114.2477530709,51443513.7872869
254,21223,Franklin,17404.6226362197,10514269.4255565
255,21224,Highlandtown,57991.3161458295,40514872.5529621
256,21225,Brooklyn,35870.8277368443,27931524.1711131
257,21226,Curtis Bay,97702.6833781795,44552452.4499062
258,21227,Halethorpe,40199.2692904716,47138982.9219835
259,21228,Catonsville,47737.5004416461,67061069.7806466
260,21229,Carroll,29758.6555959926,26422598.5173035
261,21230,Morrell Park,60678.7565995509,27450339.5435796
262,21231,Baltimore,14602.9495568751,3541419.59739989
263,21234,Parkville,42361.883262573,58062714.7811168
264,21235,Baltimore,6256.64794773821,1400243.8083027
265,21236,Nottingham,67870.2105327482,39514246.4063066
266,21237,Rosedale,61985.8292868931,51199138.258615
267,21239,Northwood,19062.8103532751,12787674.0853455
268,21240,BWI Airport,18505.7996523102,18820943.5965559
269,21241,Baltimore,3716.29781145936,459025.822582743
270,21244,Windsor Mill,39328.0039728762,62191524.9119153
271,21250,Baltimore,9363.40628332123,2911568.63112482
272,21251,Baltimore,6757.88024865848,1025668.57217616
273,21252,Baltimore,9996.23855729017,1849624.9617941
274,21286,Towson,40248.8715650331,37709425.5546777
275,21287,Baltimore,4781.8071174266,429456.145463975
276,21401,Annapolis,113595.625236621,87478948.2761723
277,21402,Naval Academy,30320.411251358,8091091.69734125
278,21403,Eastport,90071.5215579063,39594916.5987017
279,21405,Sherwood Forest,5613.18555306319,1719798.28594616
280,21409,Annapolis,109780.885930538,61077436.0478111
281,21502,Cumberland,151097.05827123,439506009.572751
282,21520,Accident,115249.232910521,297038459.020896
283,21521,Barton,83510.3302049237,145074318.693156
284,21522,Bittinger,23304.9356275998,14459440.3103899
285,21523,Bloomington,10409.1715240666,5184983.11286597
286,21530,Flintstone,86218.0220523846,269641085.308205
287,21531,Friendsville,85942.2884481254,289063203.716231
288,21532,Frostburg,103193.880738029,332623270.739354
289,21536,Grantsville,120728.982958811,395947443.737338
290,21538,Kitzmiller,42772.1653866863,85787918.2526615
291,21539,Lonaconing,86421.1485838078,179608076.14571
292,21540,Luke,3975.97680318676,1086396.7076181
293,21541,McHenry,62409.7558872885,85886980.4219272
294,21545,Mount Savage,38446.8704447927,86647145.8226736
295,21550,Oakland,161701.377467154,904787408.645884
296,21555,Oldtown,112617.426214894,422307047.816818
297,21557,Rawlings,62163.5640571697,111330834.589753
298,21561,Swanton,129547.875610115,402085290.446443
299,21562,Westernport,59903.1846104473,84693223.9232734
300,21601,Easton,456071.970854268,479078333.898776
301,21607,Barclay,48989.3977137594,63610962.9931206
302,21610,Betterton,19187.5096580375,9849396.51547118
303,21612,Bozman,74688.3094639315,23531590.1311572
304,21613,Cambridge,545976.382691307,697767055.226842
305,21617,Centreville,242641.429583523,467294880.391097
306,21619,Chester,117958.251781321,41462466.1703031
307,21620,Chestertown,348229.76706476,506268637.867243
308,21622,Church Creek,241184.189839264,310717906.993039
309,21623,Church Hill,81572.4430380147,149561308.05907
310,21625,Cordova,66736.9704322897,157290392.548422
311,21626,Crapo,76884.7276093088,67525527.3261102
312,21627,Crocheron,19040.1491006399,7006917.24251004
313,21629,Denton,170886.73962914,355749220.196154
314,21631,East New Market,91889.2302252938,105480507.195777
315,21632,Federalsburg,99673.3243643658,333459740.588
316,21634,Fishing Creek,92926.0547541024,20950612.250525
317,21635,Galena,107233.511451577,125835426.851753
318,21636,Goldsboro,60837.893500069,97176731.6957456
319,21638,Grasonville,95451.0160977561,40976540.3023551
320,21639,Greensboro,88248.6602726032,149410375.680463
321,21640,Henderson,61799.1923597388,114929592.368822
322,21643,Hurlock,91387.0240844814,199853024.12638
323,21644,Ingleside,25205.20367958,16501000.1236611
324,21645,Kennedyville,102713.198169989,189121769.307801
325,21647,McDaniel,29232.7066149356,14405024.4654659
326,21648,Madison,52313.014177923,64793201.3704572
327,21649,Marydel,55160.8859511897,96468802.2156054
328,21650,Massey,49725.1383532912,59418566.418885
329,21651,Millington,145927.6411415,188070641.100294
330,21652,Neavitt,14579.062195885,2640563.58777455
331,21654,Oxford,95476.0667740584,48340829.018047
332,21655,Preston,120404.121403536,231794072.638918
333,21657,Queen Anne,78713.0994922095,133129404.617783
334,21658,Queenstown,257670.505523804,173051762.24953
335,21659,Rhodesdale,92809.0553684244,215277523.566512
336,21660,Ridgely,61982.4530961363,139291662.072796
337,21661,Rock Hall,223542.733274084,146268381.386975
338,21662,Royal Oak,93839.7129428989,36777197.5215968
339,21663,Saint Michaels,141007.12908447,58805347.3167836
340,21665,Sherwood,39359.9577674568,14273779.4397965
341,21666,Stevensville,163126.710450093,93199026.5486239
342,21667,Still Pond,33616.8447697824,23729527.7466454
343,21668,Sudlersville,90607.2937356087,179528659.820376
344,21669,Taylors Island,153842.153572411,83281019.1024793
345,21671,Tilghman,29834.9835976099,8911754.70824107
346,21672,Toddville,153917.297294733,75407393.6583353
347,21673,Trappe,195895.335107729,220693432.953638
348,21675,Wingate,36630.1132469364,14695458.2591341
349,21676,Wittman,58336.9562930265,21007214.0074839
350,21677,Woolford,65294.8651302144,49473783.5489416
351,21678,Worton,116492.868106476,162789534.326062
352,21679,Wye Mills,36687.8724666418,34394670.6484686
353,21701,Frederick,120473.300320691,169178647.84748
354,21702,Frederick,80215.3665646197,199831155.145299
355,21703,Frederick,63604.4435430381,151076208.363516
356,21704,Frederick,68156.7652103104,119188320.175221
357,21710,Adamstown,57151.816449491,103356385.051475
358,21711,Big Pool,55520.9245492231,114488340.175945
359,21713,Boonsboro,80148.9366504831,178590262.361455
360,21716,Brunswick,17130.12283006,11580566.5136683
361,21718,Burkittsville,6136.24858315519,2067367.51918476
362,21719,Cascade,23244.0495636013,20153248.1799943
363,21722,Clear Spring,88022.8307577414,254314844.22071
364,21723,Cooksville,27030.2861398733,16145796.3882364
365,21727,Emmitsburg,69903.6104920266,144048544.318822
366,21733,Fairplay,26901.8205615464,30177388.5553588
367,21737,Glenelg,30130.0694674353,20911635.7867144
368,21738,Glenwood,29842.1989296919,30327329.9338644
369,21740,Hagerstown,143146.346646407,316839616.799186
370,21742,Hagerstown,102554.19961847,206437888.974544
371,21750,Hancock,116080.956227981,269763384.334466
372,21754,Ijamsville,61080.941374403,100081663.334869
373,21755,Jefferson,90426.1334940364,142766046.654285
374,21756,Keedysville,55415.3938891285,90944702.5914543
375,21757,Keymar,67302.6301838005,156119075.766459
376,21758,Knoxville,74252.7397593444,159556581.162185
377,21766,Little Orleans,102797.510067668,191406829.666735
378,21767,Maugansville,6682.21354232355,1764972.94954742
379,21769,Middletown,82126.5378654412,185722239.43217
380,21770,Monrovia,35158.7420129048,48346372.8005908
381,21771,Mount Airy,109264.961897666,370378129.207762
382,21773,Myersville,65524.5747167032,150244544.562745
383,21774,New Market,40819.7949924283,70079118.877468
384,21776,New Windsor,70922.398478236,160853494.397142
385,21777,Point of Rocks,18707.4504197866,11751927.3895407
386,21778,Rocky Ridge,41433.1406527317,78095166.9947297
